Summary,Issue Type,Issue ID,Parent ID,Priority,Description,Status,Epic Name,Original Estimate
"EPIC 1 : Recherche & Ingestion de Données",Epic,1,,High,"Collecte, inventaire et migration initiale des images médicales vers un dossier unifié.",To Do,"Data Ingestion",432000
"Identification & Analyse des sources (CRISP-DM)",Task,2,1,High,"Analyse structurelle et inventaire des classes cibles.",Done,"Data Ingestion",230400
"Analyse structurale des archives extraites",Sub-task,3,2,High,"Validation de la structure ISIC/HAM10000.","Done","Data Ingestion",86400
"Inventaire des classes & choix des maladies",Sub-task,4,2,High,"Sélection finale des classes cliniques.","Done","Data Ingestion",57600
"Étude de la distance de capture camera/zoom",Sub-task,5,2,Medium,"Classification par distance de prise de vue.","To Do","Data Ingestion",86400
"Migration & Organisation (CRISP-DM)",Task,6,1,High,"Nettoyage et organisation physique du dataset.","In Progress","Data Ingestion",115200
"Création du dossier unifié datasets-cutisia",Sub-task,7,6,High,"Initialisation de l'arborescence cible.","Done","Data Ingestion",14400
"Script de migration automatique",Sub-task,8,6,High,"Écriture du script Python migrate_and_unify.py.","In Progress","Data Ingestion",57600
"Création de dossier par distance de capture",Sub-task,9,6,Medium,"Sous-classement manuel/automatique par zoom.","To Do","Data Ingestion",57600
"EPIC 2 : Pipeline de Préparation & Qualité",Epic,10,,High,"Standardisation technique et annotation pour l'IA.",To Do,"Pipeline Qualité",576000
"Uniformisation Technique (CRISP-DM)",Task,11,10,High,"Normalisation des formats et résolutions.",To Do,"Pipeline Qualité",316800
"Standardisation des résolutions & formats (224x224)",Sub-task,12,11,High,"Passage massif en JPEG normalisé (standard MobileNet).","To Do","Pipeline Qualité",86400
"Normalisation des noms de fichiers",Sub-task,13,11,Low,"Renommage pour éviter les doublons.","To Do","Pipeline Qualité",28800
"Tri manuel pour validation du zoom",Sub-task,14,11,High,"Validation experte de la qualité des clichés.","To Do","Pipeline Qualité",201600
"Annotation & Augmentation",Task,15,10,Medium,"Enrichissement du dataset via Roboflow.",To Do,"Pipeline Qualité",259200
"Importation dans Roboflow/Outil d'annotation",Sub-task,16,15,Medium,"Chargement massif des images.","To Do","Pipeline Qualité",57600
"Configuration de la Data Augmentation",Sub-task,17,15,High,"Simulation de conditions lumineuses et angles mobiles.","To Do","Pipeline Qualité",86400
"Vérification des biais (couleurs de peau)",Sub-task,18,15,High,"Audit de diversité dermatologique (Fitzpatrick scale).","To Do","Pipeline Qualité",115200
"EPIC 3 : Modélisation & Entraînement IA",Epic,19,,High,"Phase de Deep Learning : Entraînement et TFLite.",To Do,"Modélisation IA",864000
"Entraînement & Expérimentation (CRISP-DM)",Task,20,19,High,"Entraînement des modèles sur GPU.",To Do,"Modélisation IA",547200
"Configuration Kaggle/Colab",Sub-task,21,20,Medium,"Setup environnement CUDA/Python.","To Do","Modélisation IA",57600
"Entraînement EfficientNet & MobileNetV3",Sub-task,22,20,High,"Apprentissage automatique (Transfer Learning).","To Do","Modélisation IA",288000
"Fine-tuning tropical",Sub-task,23,20,High,"Optimisation sur pathologies spécifiques (Lèpre, Monkeypox).","To Do","Modélisation IA",201600
"Évaluation & Compression (CRISP-DM)",Task,24,19,High,"Validation médicale et optimisation mobile.",To Do,"Modélisation IA",345600
"Analyse de la matrice de confusion",Sub-task,25,24,High,"Mesure de précision clinique par classe.","To Do","Modélisation IA",86400
"Conversion (.tflite)",Sub-task,26,24,High,"Passage au format mobile TensorFlow Lite.","To Do","Modélisation IA",115200
"Validation matériel cible (Android/iOS)",Sub-task,27,24,High,"Mesure de latence et performance CPU/NPU.","To Do","Modélisation IA",144000
"EPIC 4 : Application Mobile Flutter",Epic,28,,High,"Développement mobile Agile.",To Do,"App Flutter",864000
"Interface Utilisateur (Sprints Agile)",Task,29,28,High,"UI/UX de capture et résultats.",To Do,"App Flutter",288000
"UI Caméra Overlay",Sub-task,30,29,High,"Guide visuel de distance de capture.","To Do","App Flutter",144000
"Écran de résultats & Recos médicales",Sub-task,31,29,Medium,"Display des probabilités et premiers conseils.","To Do","App Flutter",144000
"Intégration IA & Cloud",Task,32,28,High,"Connexion du modèle dans l'app.",To Do,"App Flutter",345600
"Inférence TFLite Offline",Sub-task,33,32,High,"Diagnostic embarqué sans connexion internet.","To Do","App Flutter",201600
"API Traduction Malgache",Sub-task,34,32,Medium,"Interface multilingue (FastAPI).","To Do","App Flutter",144000
"EPIC 5 : Déploiement & Feedback",Epic,35,,Medium,"Livraison et Beta-test.",To Do,"Livraison",432000
"Tests & Livraison (CRISP-DM)",Task,36,35,High,"Validation finale avant store.",To Do,"Livraison",489600
"Phase BETA avec médecins testeurs",Sub-task,37,36,High,"Collecte de feedback terrain.","To Do","Livraison",288000
"Correction des bugs critiques",Sub-task,38,36,High,"Dernier polissage technique.","To Do","Livraison",144000
"Publication sur les stores (APK)",Sub-task,39,36,Medium,"Mise en production.","To Do","Livraison",57600
